# TRAINING ITERATION,           G_LOSS,           D_LOSS,         MSE_LOSS,     JACCARD_LOSS
                 390,         -2.18961,         -8.70910,          0.14108,          0.95160
                 391,         -2.08392,        -20.19432,          0.15028,          0.94985
                 392,         -2.11484,         -9.53809,          0.14768,          0.95435
                 393,         -2.18824,        -13.52965,          0.14866,          0.94601
                 394,         -2.31455,        -21.36110,          0.14881,          0.95312
                 395,         -2.15831,        -24.82738,          0.14940,          0.94920
                 396,         -2.20319,        -11.54246,          0.15065,          0.95451
                 397,         -2.10003,        -11.12820,          0.14722,          0.94616
                 398,         -2.14525,        -18.60140,          0.14745,          0.95015
                 399,         -2.18025,        -13.96523,          0.14050,          0.95298
                 400,         -2.10067,        -14.97538,          0.14728,          0.94453
                 401,         -2.08463,        -13.51484,          0.14656,          0.95624
                 402,         -2.07107,        -14.08188,          0.14250,          0.95521
                 403,         -2.04142,         -9.17846,          0.14704,          0.94677
                 404,         -2.08614,        -11.85556,          0.14943,          0.94803
                 405,         -2.24892,        -19.15679,          0.14634,          0.95458
                 406,         -2.15783,        -11.86178,          0.14458,          0.95169
                 407,         -2.07101,        -11.58609,          0.14864,          0.94628
                 408,         -2.05474,        -21.38478,          0.14775,          0.94997
                 409,         -2.21814,         -9.69566,          0.14206,          0.95786
                 410,         -2.19237,         -9.53052,          0.14292,          0.95381
                 411,         -2.18719,        -18.46725,          0.14007,          0.95813
                 412,         -2.06587,        -18.65261,          0.14234,          0.95096
                 413,         -2.15482,        -28.39602,          0.14615,          0.94538
                 414,         -2.20088,        -11.44397,          0.14652,          0.95135
                 415,         -2.13975,         -8.23320,          0.14232,          0.95220
                 416,         -2.12029,        -19.11681,          0.14209,          0.94882
                 417,         -2.17298,        -24.51229,          0.14606,          0.94677
                 418,         -2.09005,        -15.04033,          0.14350,          0.94502
                 419,         -2.12154,         -9.14631,          0.14999,          0.94389
                 420,         -2.18440,        -14.28216,          0.14788,          0.94787
                 421,         -2.18753,        -20.00504,          0.14113,          0.95746
                 422,         -1.95295,         -8.68146,          0.13940,          0.95104
                 423,         -2.05711,        -66.98411,          0.14082,          0.95292
                 424,         -2.10424,        -12.96643,          0.14045,          0.95807
                 425,         -2.14851,        -17.16319,          0.13666,          0.96137
                 426,         -2.01808,        -13.87773,          0.14373,          0.93801
                 427,         -2.16267,        -12.33466,          0.14963,          0.94501
                 428,         -2.02657,        -38.17432,          0.14327,          0.95427
                 429,         -2.08130,        -14.50304,          0.14121,          0.95357
                 430,         -2.11983,        -10.61072,          0.13777,          0.95178
                 431,         -2.13415,         -9.23834,          0.14415,          0.94782
                 432,         -2.03631,        -13.57713,          0.14203,          0.94746
                 433,         -2.05499,        -11.26449,          0.14796,          0.95114
                 434,         -2.03385,        -10.41063,          0.13609,          0.95120
                 435,         -1.95804,        -10.82420,          0.14131,          0.94822
                 436,         -2.13015,        -22.64860,          0.14492,          0.94897
                 437,         -2.02668,        -10.03338,          0.14383,          0.94869
                 438,         -2.15435,        -23.90429,          0.14595,          0.94290
                 439,         -2.00203,        -10.82535,          0.13251,          0.95641
                 440,         -2.10156,        -29.17389,          0.14425,          0.94959
                 441,         -2.13649,        -11.62787,          0.14206,          0.95113
                 442,         -1.90546,        -18.34492,          0.14029,          0.94147
                 443,         -1.98470,        -13.05665,          0.14370,          0.95208
                 444,         -1.97254,        -11.46549,          0.14456,          0.94319
                 445,         -1.96734,        -12.39005,          0.14381,          0.94785
                 446,         -1.92369,        -24.58046,          0.15108,          0.94722
                 447,         -1.89686,        -11.90733,          0.14051,          0.94785
                 448,         -2.18445,        -15.49712,          0.14979,          0.94277
                 449,         -1.89358,        -22.40635,          0.13892,          0.95236
                 450,         -1.97759,        -10.16052,          0.14051,          0.95235
                 451,         -2.10705,        -16.80579,          0.13913,          0.95511
                 452,         -2.07804,        -14.05476,          0.14208,          0.94374
                 453,         -2.13772,        -23.19689,          0.14340,          0.94433
                 454,         -2.01481,        -11.79995,          0.14167,          0.94888
                 455,         -2.02819,        -22.44272,          0.14026,          0.94619
                 456,         -1.93607,        -22.89777,          0.13567,          0.95205
