# TRAINING ITERATION,           G_LOSS,           D_LOSS,         MSE_LOSS,     JACCARD_LOSS
                 350,         -1.06862,         -1.87018,          0.07905,          0.95643
                 351,         -1.06991,         -1.00467,          0.07951,          0.95119
                 352,         -1.26200,         -1.69508,          0.09818,          0.95514
                 353,         -1.09413,         -1.21994,          0.07980,          0.96560
                 354,         -1.19677,         -1.33242,          0.08747,          0.96004
                 355,         -1.31810,         -1.64529,          0.08713,          0.95457
                 356,         -1.20476,         -1.94876,          0.08945,          0.96423
                 357,         -1.25185,         -1.51725,          0.08538,          0.94848
                 358,         -1.15649,         -1.35210,          0.08379,          0.96682
                 359,         -1.26628,         -2.11092,          0.06973,          0.96428
                 360,         -1.27601,         -2.01899,          0.08441,          0.94374
                 361,         -1.06988,         -1.51041,          0.08379,          0.95425
                 362,         -1.22184,         -1.40731,          0.07871,          0.96540
                 363,         -1.28886,         -1.97854,          0.08735,          0.95581
                 364,         -1.27767,         -1.34297,          0.08179,          0.95908
                 365,         -1.11712,         -2.30896,          0.07576,          0.96787
                 366,         -1.15887,         -2.46238,          0.09116,          0.94500
                 367,         -1.11895,         -1.39625,          0.09077,          0.95970
                 368,         -1.12536,         -1.52913,          0.09014,          0.96703
                 369,         -1.03096,         -1.70054,          0.08916,          0.95065
                 370,         -1.09956,         -2.78798,          0.08838,          0.95440
                 371,         -0.93355,         -1.23545,          0.07877,          0.96057
                 372,         -1.13562,         -1.92677,          0.08363,          0.95656
                 373,         -1.17991,         -1.73775,          0.09044,          0.94905
                 374,         -1.20511,         -1.79010,          0.08539,          0.95698
                 375,         -1.21324,         -2.75729,          0.08367,          0.95704
                 376,         -1.06203,         -1.51276,          0.08478,          0.96452
                 377,         -1.32085,         -1.41537,          0.08277,          0.96813
                 378,         -1.09386,         -1.74087,          0.08338,          0.95575
                 379,         -1.23764,         -1.58256,          0.07937,          0.94703
                 380,         -0.92119,         -1.35788,          0.08081,          0.95806
                 381,         -1.10175,         -1.87890,          0.08741,          0.94731
                 382,         -1.14871,         -1.88672,          0.09216,          0.95109
                 383,         -1.21269,         -1.60189,          0.08629,          0.95738
                 384,         -1.03785,         -1.34472,          0.08148,          0.95724
                 385,         -0.90324,         -1.60951,          0.07830,          0.95266
                 386,         -1.03674,         -0.90276,          0.08317,          0.94638
                 387,         -1.29441,         -1.38996,          0.08605,          0.95788
                 388,         -0.92492,         -1.59195,          0.07755,          0.95954
                 389,         -1.07486,         -0.89183,          0.07835,          0.95835
                 390,         -1.02866,         -0.94744,          0.08658,          0.96102
                 391,         -1.12291,         -1.60115,          0.09328,          0.94888
                 392,         -1.05503,         -1.43350,          0.08572,          0.96005
                 393,         -1.08920,         -1.29082,          0.08286,          0.95754
                 394,         -1.31501,         -1.70895,          0.08874,          0.95330
                 395,         -1.07060,         -1.88645,          0.08506,          0.94298
                 396,         -1.08540,         -1.49758,          0.08165,          0.95821
                 397,         -1.07135,         -1.65459,          0.08357,          0.95274
                 398,         -1.08645,         -1.26482,          0.08503,          0.94525
                 399,         -1.17512,         -1.28539,          0.08697,          0.95535
                 400,         -1.16933,         -0.88533,          0.08361,          0.95234
                 401,         -1.08244,         -0.97637,          0.08880,          0.94920
                 402,         -1.06245,         -1.24147,          0.09124,          0.94442
                 403,         -1.29234,         -1.18236,          0.08490,          0.95954
                 404,         -1.11725,         -1.56641,          0.09185,          0.94873
                 405,         -1.10191,         -1.32594,          0.07841,          0.95387
                 406,         -1.15443,         -1.50841,          0.08808,          0.93942
                 407,         -1.18296,         -1.04618,          0.07672,          0.95796
                 408,         -1.18659,         -2.47830,          0.08046,          0.95051
                 409,         -1.18544,         -1.64338,          0.09022,          0.94968
                 410,         -1.07234,         -1.15201,          0.08948,          0.95185
                 411,         -1.16127,         -1.26044,          0.08646,          0.94358
                 412,         -1.12097,         -1.22859,          0.08862,          0.94486
                 413,         -0.99936,         -1.16661,          0.08078,          0.95455
                 414,         -1.22689,         -1.23217,          0.09272,          0.95443
                 415,         -1.12092,         -1.02277,          0.08053,          0.94525
                 416,         -1.11483,         -1.42085,          0.08429,          0.96070
                 417,         -1.07390,         -1.18243,          0.07536,          0.95793
                 418,         -1.21099,         -1.32420,          0.07905,          0.95630
                 419,         -0.96603,         -1.04742,          0.08820,          0.94760
                 420,         -1.16374,         -0.66355,          0.07930,          0.95112
                 421,         -1.09693,         -0.68449,          0.07848,          0.95357
                 422,         -1.08256,         -0.86222,          0.08234,          0.95280
                 423,         -1.08484,         -0.93317,          0.08128,          0.94420
                 424,         -1.11975,         -0.80054,          0.08682,          0.94105
                 425,         -1.19703,         -1.54631,          0.07770,          0.95614
                 426,         -0.99234,         -0.93105,          0.08493,          0.93564
                 427,         -1.17527,         -1.52108,          0.08494,          0.94502
                 428,         -1.24319,         -1.22620,          0.08306,          0.95112
                 429,         -0.83361,         -1.99632,          0.07909,          0.94730
                 430,         -1.08247,         -1.01732,          0.09547,          0.93360
                 431,         -1.17002,         -1.38571,          0.09041,          0.94062
                 432,         -1.08545,         -0.99232,          0.08401,          0.94457
                 433,         -1.31493,         -1.99995,          0.09021,          0.93857
                 434,         -1.12349,         -1.50819,          0.08508,          0.94431
                 435,         -1.20549,         -1.38752,          0.08613,          0.95070
                 436,         -1.09523,         -0.72548,          0.07938,          0.94725
                 437,         -1.07278,         -0.81475,          0.08205,          0.94455
                 438,         -1.04415,         -1.01427,          0.08082,          0.94776
                 439,         -1.15613,         -1.04563,          0.09305,          0.94723
                 440,         -1.21996,         -1.29481,          0.08632,          0.95076
                 441,         -1.11238,         -1.15642,          0.07066,          0.95409
                 442,         -1.26240,         -0.99371,          0.08288,          0.94956
                 443,         -1.07076,         -1.14846,          0.08134,          0.94929
                 444,         -1.38070,         -1.37861,          0.08454,          0.94428
                 445,         -1.06300,         -0.73049,          0.07734,          0.95908
                 446,         -0.95563,         -0.92277,          0.07533,          0.94213
                 447,         -1.06295,         -0.70497,          0.09195,          0.93041
